GROUP;PERMNO;IBESTICKER
G2;89546;NA25
G2;89572;PRTH
G2;89574;PRAA
G2;89575;SAFG
G2;89576;
G2;89611;ACRI
G2;89643;FCCO
G2;89738;MBTF
G2;89821;BN04
G2;89826;TCBI
G2;89828;UVSP
G2;89904;BWLD
G2;89922;TSRA
G2;89952;CMII
G2;90029;DVAX
G2;90081;CUTR
G2;90086;MBVT
G2;90164;GNLC
G2;90223;DRAD
G2;90228;
G2;90358;GVBK
G2;90417;
G2;90591;EFSC
G2;90600;KRNY
G2;90703;TGPN
G2;90710;PL0K
G2;90742;RACK
G2;90806;DCHA/1
G2;90865;KONA
G2;90871;RUTH
G2;90956;NCIT
G2;90963;AMES
G2;90984;WSPI
G2;91076;CLTM
G2;91095;LQDT
G2;91096;MHGC
G2;91161;GPRE
G2;91167;
G2;91262;ATL2
G2;91269;CBBT
G2;91274;FBMS
G2;91279;NOVC
G2;91299;GFNF
G2;91363;PGTI
G2;91468;ICFI
G2;91471;PFTR
G2;91688;EIG
G2;91818;ESGR
G2;91855;SFNC
G2;91954;ARCW
G2;92093;FBCM
G2;92245;HANO
G2;92318;TOWN
G2;92449;REDD
G2;92588;HECC
G2;92635;NXB
G2;92684;MHLD
G2;92685;MLVF
G2;92692;BKJ
G2;92696;HPJJ
G2;92729;JBT
G2;92771;HSNI
G2;92873;DNBF
G2;92924;DGI
G2;93106;BI0B
G2;93130;
G2;93149;AKHN
G2;93233;MSGN
G2;93330;PRMC
G2;93368;EA0V
G2;93372;PLOW
G2;93433;
G3;10201;ATT
G3;10259;SIGM
G3;10294;
G3;10395;NAVG
G3;10514;TWMC
G3;10547;AA0V
G3;10661;CYAN
G3;10886;DXYN
G3;10892;WSFS
G3;11208;OFB
G3;11361;ECTT
G3;11368;AA00
G3;11370;ENV
G3;11378;CRBN
G3;11581;APWR
G3;11587;ATNG
G3;11593;SNLF
G3;11638;LABL
G3;11748;
G3;11790;ALCO
G3;11803;MITK
G3;11844;PKVL
G3;12068;OLDB
G3;12411;TKMR
G3;12495;
G3;12501;FRPI
G3;12588;RMIX
G3;12745;NGLZ
G3;12747;NMFC
G3;12908;WAIR
G3;12960;CARZ
G3;12971;UBPS
G3;13006;FMNB
G3;13007;LC02
G3;13014;
G3;13036;
G3;13084;MNN
G3;13160;JIVE
G3;13201;REGZ
G3;13249;PRLB
G3;13260;BCOV
G3;13263;CEMP
G3;13278;HMST
G3;13342;BLOX
G3;13410;SUPN
G3;13453;CEMI
G3;13520;CHUY
G3;13534;IBTH
G3;13561;
G3;13640;CUBN
G3;13642;
G3;13652;RGLS
G3;13740;CVRR
G3;13761;STML
G3;13766;BCCZ
G3;13908;PENY
G3;13930;KMDA
G3;13992;GIMO
G3;14026;JONE
G3;14092;ASCC
G3;14094;GIXC
G3;14131;MYCC
G3;14150;COVS
G3;14157;ENZY
G3;14166;00JB
G3;14214;OCIP
G3;14233;WNRL
G3;14238;AERI
G3;14258;PBPB
G3;14262;QBYT
G3;14276;EK
G3;14291;MEPP
G3;14304;CACQ
G3;14318;NMIH
G3;14344;SATL
G3;14423;000V
G3;14425;
G3;14447;001C
G3;14450;CMFN
G3;14478;CBPX
G3;14504;001N
G3;14543;BLBD
G3;14552;RXDX
G3;14565;FSIC
G3;14602;OPB
G3;14603;003K
G3;14647;ALDX
G3;14697;006J
G3;14761;ARSD
G3;14783;WLKP
G3;14786;008U
G3;14790;AAVL
G3;14792;BHBK
G3;14795;TKR
G3;14797;CDNA
G3;14807;IRMD
G3;14816;TR
G3;14855;RYI
G3;14870;97
G3;14927;CFRX
G3;14981;USDP
G3;14986;ATTO
G3;15006;
G3;15015;PRTO
G3;15057;APDN
G3;15059;00CL
G3;15070;AROW
G3;15084;TBK
G3;15140;00DV
G3;15172;AVGR
G3;15175;
G3;15270;00L4
G3;15272;SEDG
G3;15282;ADRO
G3;15283;APIC
G3;15286;CDTX
G3;15313;EVA
G3;15327;PRTY
G3;15339;00NO
G3;15370;00O7
G3;15410;APPF
G3;15411;015F
G3;15427;GPP
G3;15435;PUB
G3;15452;EVH
G3;15490;LITEV
G3;15497;CHMA
G3;15531;00TC
G3;15535;OLLI
G3;15543;XELB
G3;15582;OOMA
G3;15636;CNFR
G3;15652;
G3;15665;CRHM
G3;15724;00V5
G3;15780;DMTX
G3;15782;
G3;15786;IOTS
G3;15789;NVCR
G3;15791;
G3;15795;SGRY
G3;15824;00XB
G3;15831;00XR
G3;15853;012B
G3;15857;WVE
G3;15863;OCX
G3;15899;
G3;15917;GCPWI
G3;17137;BSET
G3;18075;AP
G3;18649;PZB
G3;20598;CALM
G3;27430;CTB
G3;28118;NC1
G3;28564;CTS
G3;29612;BER
G3;33770;DCAP
G3;33823;BOOM
G3;34367;FARM
G3;34936;
G3;37154;FONR
G3;38420;CNK
G3;45655;CDI
G3;46340;SFE
G3;46923;
G3;47511;EBF
G3;47571;KEQU
G3;48347;LAZB
G3;48961;LAWS
G3;49138;SIF
G3;50286;LEE
G3;50623;MTSC
G3;50789;MDSN
G3;51086;WGO
G3;51423;MRCS
G3;51925;MAUI
G3;52250;MCHT
G3;52396;SUP
G3;53110;BMI
G3;53225;WPO
G3;54114;MLHR
G3;55993;NSSC
G3;58334;NWNG
G3;59045;KEX
G3;59256;CRW
G3;59774;LDL
G3;61269;PKOH
G3;64742;PCYL
G3;64805;
G3;75460;TANT
G3;75556;NBN
G3;75714;GTNR
G3;75831;DGII
G3;76261;FAIL
G3;76279;MTR1
G3;76529;NRIM
G3;76586;CIT2
G3;76672;PMDX
G3;76684;HBHC
G3;76708;DVR1
G3;76721;FORT
G3;76788;AMH1
G3;76798;EZPW
G3;76838;MAIC
G3;76856;PAWN
G3;76961;NTAI
G3;77186;
G3;77282;MSON
G3;77447;ICUI
G3;77488;NO2U
G3;77569;LRP
G3;77610;PANL
G3;77629;USPH
G3;77735;OIL1
G3;77790;
G3;77889;FUTD
G3;77900;CPIA
G3;78077;TFT
G3;78189;PESI
G3;78418;STKL
G3;79013;SYBA
G3;79026;CHDN
G3;79131;MSLI
G3;79315;CHKE
G3;79824;FIFB
G3;79839;ITRI
G3;79862;ROK1
G3;80034;SHOO
G3;80113;CLDN
G3;80223;BPBC
G3;80237;EFCX
G3;80343;NNBR
G3;80517;AA2U
G3;80635;IMAX
G3;80655;NXUS
G3;80759;MATW
G3;80987;KNGT
G3;81190;VOLT
G3;81278;STRT
G3;81294;WDFC
G3;81527;MDZ1
G3;81566;MAL2
G3;81577;WFSL
G3;81610;CWCO
G3;81614;WSCI
G3;81666;HAI
G3;81869;GSES
G3;82163;CLGY
G3;82171;AA1A
G3;82287;TERA
G3;82670;MHTT
G3;82848;TTNP
G3;82855;ELPA
G3;83155;OH0A
G3;83382;INF1
G3;83411;RINT
G3;83503;EXAC
G3;83630;BVSN
G3;83720;FFG
G3;84026;DVD
G3;84062;CHGO
G3;84215;GLTB
G3;84389;FNC
G3;84397;UNTY
G3;84601;
G3;84648;RMM
G3;84650;
G3;84737;GIFI
G3;85013;INTT
G3;85040;SIMU
G3;85059;FIX
G3;85177;EGHT
G3;85293;HYSQ
G3;85522;AMCC
G3;85656;MBP
G3;85725;CFFI
G3;85731;HFWA
G3;85875;IBOC
G3;85951;OME
G3;86026;OTL
G3;86051;AXTI
G3;86062;EVOL
G3;86312;SALB
G3;86362;SYXI
G3;86802;HGT
G3;86965;FIIS
G3;87000;STMP
G3;87061;CTCH
G3;87162;FLWS
G3;87318;EBGN
G3;87415;RUDO
G3;87426;DW
G3;87525;MFSF
G3;87656;CHMX
G3;88174;LPSN
G3;88203;VDSI
G3;88240;
G3;88257;PFBX
G3;88331;CPHD
G3;88340;EXFO
G3;88439;ENTG
G3;88475;VASS
G3;88485;EVC
G3;88495;OEH
G3;88564;RTIX
G3;88615;AA30
G3;88729;HYG1
G3;88750;XXIA
G3;88841;RECN
G3;88865;HAFC
G3;88897;OIS
G3;88912;IBCP
G3;89063;
G3;89068;TAU2
G3;89203;AAAD
G3;89207;KIND
G3;89252;FVE
G3;89297;COI
G3;89387;CPSI
G3;89395;PNFP
G3;89424;SVBI
G3;89445;BDSI
G3;89482;FPTB
G3;89506;SCST
G3;89547;NRP
G3;89570;MMLP
G3;89753;FORX
G3;89905;CADL
G3;89908;CONN
G3;89913;MRLN
G3;89916;NXST
G3;89948;
G3;89977;APIN
G3;90011;CMD2
G3;90118;SEA2
G3;90126;CYTK
G3;90219;SFLI
G3;90233;MNTA
G3;90329;
G3;90464;USMO
G3;90470;ATLO
G3;90605;UACL
G3;90763;NSR
G3;90825;ABDW
G3;90850;SXCI
G3;90926;PIPK
G3;90948;CBHQ
G3;91020;CYNO
G3;91037;AAVA
G3;91114;KPO
G3;91186;VNDA
G3;91271;CODI
G3;91389;VEHQ
G3;91408;SSBI
G3;91446;BTCU
G3;91463;CVLT
G3;91560;DAC
G3;91605;CPLA
G3;91655;ANW
G3;91665;ALBA
G3;91678;TAST
G3;91845;CEPL
G3;91907;SMIC
G3;91908;
G3;91910;USTT
G3;91967;SYUT
G3;92029;TRSA
G3;92038;ENOC
G3;92041;GLRE
G3;92184;PMC
G3;92207;SHOR
G3;92226;SCMP
G3;92345;NVBY
G3;92478;FORK
G3;92502;PAX
G3;92523;EBSB
G3;92596;GHQ
G3;92597;HIK
G3;92726;AM40
G3;92775;TREK
G3;92807;UBAN
G3;92808;DMRC
G3;92854;CLWW
G3;92872;
G3;92919;OR0Q
G3;92984;LOGM
G3;93073;ADUS
G3;93078;DRWI
G3;93305;FNGN
G3;93426;VPGW
